,Название фильмы и год выпуска,Описание,О фильме
0,Побег из Шоушенка (1994),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  драма ...
 Страна -  США 
 В ролях -  Тим Роббинс, Морган Фриман, Боб Гантон, Уильям Сэдлер, ...
   Бухгалтер Энди Дюфрейн обвинён в убийстве собственной жены и её любовника. Оказавшись в тюрьме под названием Шоушенк, он сталкивается с жестокостью и беззаконием, царящими по обе стороны решётки. Каждый, кто
"
1,Назад в будущее (1985),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  фантастика, комедия, приключения ...
 Страна -  США 
 В ролях -  Майкл Дж. Фокс, Кристофер Ллойд, Лиа Томпсон, Криспин ...
   Подросток Марти с помощью машины времени, сооружённой его другом-профессором доком Брауном, попадает из 80-х в далекие 50-е. Там он встречается со своими будущими родителями, ещё подростками, и
"
2,Зеленая миля (1999),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  драма, криминал ...
 Страна -  США 
 В ролях -  Том Хэнкс, Дэвид Морс, Бонни Хант, Майкл Кларк Дункан, ...
   Пол Эджкомб - начальник блока смертников в тюрьме «Холодная гора», каждый из узников которого однажды проходит «зеленую милю» по пути к месту казни. Пол повидал много заключённых и надзирателей за время
"
3,Иван Васильевич меняет профессию (1973),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  комедия, фантастика, приключения ...
 Страна -  СССР 
 В ролях -  Александр Демьяненко, Юрий Яковлев, Леонид Куравлёв, ...
   Инженер-изобретатель Тимофеев сконструировал машину времени, которая соединила его квартиру с далеким шестнадцатым веком - точнее, с палатами государя Ивана Грозного. Туда-то и попадают тезка царя
"
4,Бриллиантовая рука (1968),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  комедия, криминал ...
 Страна -  СССР 
 В ролях -  Юрий Никулин, Андрей Миронов, Анатолий Папанов, Нина ...
   В южном городке орудует шайка валютчиков, возглавляемая Шефом и его помощником Графом (в быту - Геной Козодоевым). Скромный советский служащий и примерный семьянин Семен Семенович Горбунков отправляется в
"
5,Законопослушный гражданин (2009),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  боевик, триллер, драма, криминал ...
 Страна -  США 
 В ролях -  Джейми Фокс, Джерард Батлер, Колм Мини, Брюс МакГилл, Лесли ...
   Окружной прокурор пошёл на сделку с преступниками и освободил их из тюрьмы. Тогда человек, чьи жена и ребёнок погибли от рук убийц, решает отомстить прокурору, совершив правосудие самостоятельно. Его ловят и
"
6,Апокалипсис (2006),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  боевик, триллер, драма, приключения ...
 Страна -  США, Мексика, Великобритания 
 В ролях -  Руди Янгблад, Далия Эрнандес, Джонатан Брюэр, Моррис ...
   В фильме показана жизнь цивилизации майя до прихода испанских конкистадоров: жестокие войны с соседними племенами, человеческие жертвоприношения, загадочные мистические ритуалы. В один день рушится мир индейца
"
7,Аватар (2009),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  фантастика, боевик, драма, приключения ...
 Страна -  США 
 В ролях -  Сэм Уортингтон, Зои Салдана, Сигурни Уивер, Стивен Лэнг, ...
   Бывший морпех Джейк Салли прикован к инвалидному креслу. Несмотря на немощное тело, Джейк в душе по-прежнему остается воином. Он получает задание совершить путешествие в несколько световых лет к базе землян на
"
8,1+1 (2011),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  драма, комедия, биография ...
 Страна -  Франция 
 В ролях -  Франсуа Клюзе, Омар Си, Анн Ле Ни, Одри Флеро, Жозефин де ...
   Пострадав в результате несчастного случая, богатый аристократ Филипп нанимает в помощники человека, который менее всего подходит для этой работы, – молодого жителя предместья Дрисса, только что освободившегося
"
9,Форрест Гамп (1994),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  драма, комедия, мелодрама, история, военный ...
 Страна -  США 
 В ролях -  Том Хэнкс, Робин Райт, Салли Филд, Гэри Синиз, Майкелти ...
   Сидя на автобусной остановке, Форрест Гамп - не очень умный, но добрый и открытый парень - рассказывает случайным встречным историю своей необыкновенной жизни. С самого малолетства парень страдал от
"
10,Назад в будущее 3 (1990),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  фантастика, комедия, приключения, вестерн ...
 Страна -  США 
 В ролях -  Майкл Дж. Фокс, Кристофер Ллойд, Мэри Стинберген, Томас Ф. ...
   Несмотря на просьбы Дока не навещать его в XIX веке, Марти вновь хочет вмешаться в ход событий и на машине времени уносится в 1885 год, навстречу Дикому Западу. Это путешествие, как и все прежние, не обходится
"
11,Назад в будущее 2 (1989),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  фантастика, приключения, боевик, комедия, семейный ...
 Страна -  США 
 В ролях -  Майкл Дж. Фокс, Кристофер Ллойд, Лиа Томпсон, Томас Ф. ...
   Продолжение фантастической истории о приключениях американского подростка во времени. На этот раз с помощью модернизированной Доком машины времени Марти из 80-х попадает в будущее. Дети Марти в беде, и их надо
"
12,Изгой (2000),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  драма, мелодрама, приключения ...
 Страна -  США 
 В ролях -  Том Хэнкс, Хелен Хант, Крис Нот, Ник Сирси, Дженифер Льюис, ...
   Инспектор логистической компании FedEx Чак Ноланд - трудоголик, у которого нет времени даже на собственную невесту. Во время очередной командировки самолет с Ноландом падает в Тихий океан. Чак, единственный,
"
13,Мумия возвращается (2001),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  фэнтези, боевик, триллер, приключения ...
 Страна -  США 
 В ролях -  Брендан Фрейзер, Рэйчел Вайс, Джон Ханна, Арнольд Вослу, ...
   Прошло десять лет... Наш отважный герой, искатель приключений Рик О'Конелл, теперь богат, счастливо женат на прекрасной Эвелин и воспитывает своего восьмилетнего сына Алекса. Но злой рок не дает очаровательной
"
14,Джентльмены (2019),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  криминал, комедия, боевик ...
 Страна -  Великобритания, США 
 В ролях -  Мэттью МакКонахи, Чарли Ханнэм, Генри Голдинг, Хью Грант, ...
   Один ушлый американец ещё со студенческих лет приторговывал наркотиками, а теперь придумал схему нелегального обогащения с использованием поместий обедневшей английской аристократии и очень неплохо на этом
"
15,Волк с Уолл-стрит (2013),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  драма, криминал, биография, комедия ...
 Страна -  США 
 В ролях -  Леонардо ДиКаприо, Джона Хилл, Марго Робби, Кайл Чандлер, ...
   1987 год. Джордан Белфорт становится брокером в успешном инвестиционном банке. Вскоре банк закрывается после внезапного обвала индекса Доу-Джонса. По совету жены Терезы Джордан устраивается в небольшое
"
16,Брат (1997),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  драма, криминал, боевик ...
 Страна -  Россия 
 В ролях -  Сергей Бодров мл., Виктор Сухоруков, Светлана Письмиченко, ...
   Демобилизовавшись, Данила Багров вернулся в родной городок. Но скучная жизнь российской провинции не устраивала его, и он решился податься в Петербург, где, по слухам, уже несколько лет процветает его старший
"
17,Зеленая книга (2018),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  биография, комедия, драма ...
 Страна -  США, Китай 
 В ролях -  Вигго Мортенсен, Махершала Али, Линда Карделлини, Себастьян ...
   1960-е годы. После закрытия нью-йоркского ночного клуба на ремонт вышибала Тони по прозвищу Болтун ищет подработку на пару месяцев. Как раз в это время Дон Ширли - утонченный светский лев, богатый и
"
18,Достучаться до небес (1997),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  драма, комедия, криминал ...
 Страна -  Германия 
 В ролях -  Тиль Швайгер, Ян Йозеф Лиферс, Тьерри Ван Вервеке, Мориц ...
   Волею судеб две абсолютные противоположности, тихоня Руди и разгильдяй Мартин, оказываются в одной больничной палате. Узнав неутешительные прогнозы, друзья решают использовать последние дни на полную катушку -
"
19,Между небом и землей (2005),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  фэнтези, драма, мелодрама, комедия ...
 Страна -  США 
 В ролях -  Риз Уизерспун, Марк Руффало, Донал Лог, Дина Спайби, Бен ...
   Вселившись в арендованную квартиру в Сан-Франциско и начав наводить там порядок, Дэвид неожиданно встречает в своем новом жилище привлекательную молодую женщину Элизабет, которая уверяет его, что именно она
"
20,Смертельная битва (1995),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  боевик, фэнтези, фантастика ...
 Страна -  США 
 В ролях -  Робин Шоу, Линден Эшби, Бриджит Уилсон, Кристофер Ламберт, ...
   Несколько столетий назад маг из другого мира Шан Цзун захватил древний воинский турнир. Его цель - ввергнуть наш мир в хаос. Чтобы спасти человечество от гибели, троим воинам предстоит смертельная битва с
"
21,Пролетая над гнездом кукушки (1975),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  драма ...
 Страна -  США 
 В ролях -  Джек Николсон, Луиза Флетчер, Уилл Сэмпсон, Брэд Дуриф, ...
   Рэндла Патрика Макмёрфи, патологического преступника и бунтаря, переводят из колонии в психиатрическую клинику, чтобы установить, является он душевнобольным или нет. В клинике он обнаруживает, что отделение
"
22,Одаренная (2017),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  драма ...
 Страна -  США 
 В ролях -  Крис Эванс, Маккенна Грейс, Линдси Дункан, Октавия Спенсер, ...
   Фрэнк Адлер живет в прибрежном городке во Флориде и воспитывает в одиночку свою необычайно одаренную племянницу Мэри. Но планы парня о спокойной школьной жизни для девочки рушатся, когда о математических
"
